Month,Opening Date,Title,Production Company,Genre
JANUARY,2,The Mummy Murders,Gravitas Ventures,"Horror,Crime,Drama"
JANUARY,3,Self Reliance,Neon/Hulu/MRC/Paramount Global Content Distribution,"Comedy,Mystery,Thriller"
JANUARY,4,DarkGame,Gravitas Ventures,"Horror,Mystery,Thriller"
JANUARY,4,Society of the Snow,Netflix,"Drama,Adventure,Biography"
JANUARY,5,Night Swim,Universal Pictures/Blumhouse Productions/Atomic Monster,"Horror,Mystery,Thriller"
JANUARY,5,Foe,Amazon MGM Studios,"Sci-Fi,Mystery,Thriller,Drama"
JANUARY,5,Good Grief,Netflix,"Comedy,Drama"
JANUARY,5,Night Swim,Universal Pictures,"Horror,Mystery,Thriller"
JANUARY,5,Race for Glory: Audi vs. Lancia,RAI/Signature Entertainment,Drama
JANUARY,5,He Went That Way,Vertical Entertainment/Mister Smith Entertainment,"Mystery,Thriller,Crime,Drama"
JANUARY,5,The Painter,Republic Pictures,"Mystery,Thriller,Action,Crime"
JANUARY,5,The Bricklayer,Vertical Entertainment/Millennium Media,"Action,Mystery,Thriller"
JANUARY,5,Some Other Woman,Radiant Films International / Balcony 9 Productions,"Mystery,Thriller"
JANUARY,5,Fugitive Dreams,Freestyle Releasing,Drama
JANUARY,5,Husband for Sale,Media Ave Studios,Comedy
JANUARY,9,September 5,Paramount Pictures,"Mystery,Thriller,History,Drama,Sports,War"
JANUARY,12,The Beekeeper,Metro-Goldwyn-Mayer/Miramax,"Action,Mystery,Thriller"
JANUARY,12,Mean Girls,Paramount Pictures/Broadway Video/Little Stranger,"Musical,Comedy"
JANUARY,12,The Book of Clarence,TriStar Pictures/Legendary Pictures,Comedy
JANUARY,12,Lift,Netflix/Genre Films/6th & Idaho Productions,"Action,Comedy,Crime,Drama"
JANUARY,12,Role Play,Amazon MGM Studios/The Picture Company/StudioCanal,"Mystery,Thriller"
JANUARY,12,The Night They Came Home,Lionsgate Home Entertainment,Western
JANUARY,12,Destroy All Neighbors,RLJE Films/Shudder,"Comedy,Horror"
JANUARY,12,The Kitchen,Netflix,"Adventure,Drama,Sci-Fi"
JANUARY,12,Hellhound,Saban Films/ Mbrella Films,"Action,Crime,Mystery,Thriller"
JANUARY,17,Wanted Man,Quiver Distribution/Millennium Media,"Action,Mystery,Thriller"
JANUARY,18,Eno,Film First Co./Tigerlily Productions,"Documentary,Biography,Music"
JANUARY,19,I.S.S.,Bleecker Street/LD Entertainment,"Sci-Fi,Mystery,Thriller,Action,Drama"
JANUARY,19,Origin,Neon,Drama
JANUARY,19,Bring Him to Me,Rialto Distribution,"Action,Mystery,Thriller,Crime,Drama"
JANUARY,19,Sunrise,Lionsgate/Grindstone Entertainment Group,"Horror,Mystery,Thriller"
JANUARY,19,Which Brings Me to You,Decal/Anonymous Content,"Romance,Comedy,Drama"
JANUARY,19,Cult Killer,Saban Films,"Mystery,Thriller,Crime,Drama,Action"
JANUARY,19,Founders Day,Dark Sky Films / Blue Finch Films / Mainframe Pictures,"Horror,Mystery,Thriller,Comedy"
JANUARY,23,Murder and Cocktails,905 Productions / Vision Films,"Mystery,Thriller,Comedy"
JANUARY,24,Beautiful Wedding,Voltage Pictures/Wattpad Studios,"Romance,Comedy"
JANUARY,26,Miller's Girl,Lionsgate/Point Grey Pictures,"Comedy,Drama,Mystery,Thriller"
JANUARY,26,The Underdoggs,Amazon MGM Studios/Metro-Goldwyn-Mayer/Khalabo Ink Society,"Comedy,Sports"
JANUARY,26,Sometimes I Think About Dying,Oscilloscope Laboratories,"Drama,Comedy,Romance"
JANUARY,26,American Star,IFC Films,"Mystery,Thriller"
JANUARY,26,Cold Copy,Vertical Entertainment,"Mystery,Thriller,Drama"
JANUARY,26,Junction,VMI Releasing / Verdi Productions,"Drama,Mystery,Thriller,Crime"
JANUARY,26,Hundreds of Beavers,SRH,"Comedy,Adventure"
JANUARY,30,There Is a Monster,Gravitas Ventures,"Drama,Horror,Mystery,Thriller"
FEBRUARY,2,Argylle,Universal Pictures / Apple TV+ / Marv Studios,"Action,Adventure,Comedy,Drama,Mystery,Thriller"
FEBRUARY,2,Orion and the Dark,Netflix/DreamWorks Animation,"Kids & Family,Comedy,Animation"
FEBRUARY,2,The Tiger's Apprentice,Paramount+/Paramount Animation/New Republic Pictures,"Kids & Family,Action,Adventure,Fantasy,Animation"
FEBRUARY,2,Suncoast,Searchlight Pictures/Hulu,Drama
FEBRUARY,2,Disco Boy,Big World Pictures,Drama
FEBRUARY,2,The Promised Land,Nordisk Film,"History,Drama"
FEBRUARY,2,Scrambled,Lionsgate/Roadside Attractions,Comedy
FEBRUARY,2,Bosco,Peacock,"Mystery,Thriller"
FEBRUARY,2,How to Have Sex,Film4/BFI/mk2 Films,Drama
FEBRUARY,2,Somewhere Quiet,Vertical Entertainment,"Horror,Mystery,Thriller"
FEBRUARY,2,The Monk and the Gun,Roadside Attractions,Drama
FEBRUARY,2,A Nashville Wish,Vision Films / Brentwood Avenue Entertainment / D Street Films,"Drama,Music"
FEBRUARY,9,Lisa Frankenstein,Focus Features,"Horror,Romance,Comedy"
FEBRUARY,9,Upgraded,Amazon MGM Studios,"Romance,Comedy"
FEBRUARY,9,Air Force One Down,Republic Pictures,"Action,Mystery,Thriller,Crime"
FEBRUARY,9,Lola,Vertical Entertainment,Drama
FEBRUARY,9,Drift,Utopia,"Drama,Romance"
FEBRUARY,9,"Lover, Stalker, Killer",Netflix,"Documentary,Crime"
FEBRUARY,9,Willie and Me,Quiver Distribution,"Comedy,Adventure,Drama"
FEBRUARY,9,Marmalade,Signature Films/ Tea Shop Productions,"Crime,Drama,Mystery,Thriller,Romance"
